id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username
195,86.0,47,54959.0,0.0,0.0,0.0,0.0,9776ec472a868d9a7be6db7aca387f1b45029033,,A2EM4ff,udit_dev
195,608.0,1,0.0,68610.0,0.0,0.0,0.0,9776ec472a868d9a7be6db7aca387f1b45029033,,A2EM4ff,udit_dev
195,899.0,1,0.0,0.0,25991.0,0.0,0.0,9776ec472a868d9a7be6db7aca387f1b45029033,,A2EM4ff,udit_dev
195,26.0,1,0.0,0.0,0.0,37.0,58672.0,9776ec472a868d9a7be6db7aca387f1b45029033,,A2EM4ff,udit_dev
196,560.0,47,60082.0,0.0,0.0,0.0,0.0,2a513ff865ea9c03d3ae52beb0cfe29bf07d726a,,oNkzoAI,suresh_02l7c5f3i
196,1231.0,1,0.0,0.0,26048.0,0.0,0.0,2a513ff865ea9c03d3ae52beb0cfe29bf07d726a,,oNkzoAI,suresh_02l7c5f3i
196,131.0,1,0.0,0.0,0.0,63.0,58674.0,2a513ff865ea9c03d3ae52beb0cfe29bf07d726a,,oNkzoAI,suresh_02l7c5f3i
197,31.0,47,60093.0,0.0,0.0,0.0,0.0,0,0,0,0
197,619.0,19,0.0,29603.0,0.0,0.0,0.0,0,0,0,0
197,177.0,1,0.0,0.0,26074.0,0.0,0.0,0,0,0,0
197,376.0,9,0.0,0.0,0.0,78.0,75226.0,0,0,0,0
198,154.0,47,60140.0,0.0,0.0,0.0,0.0,c7966af0181a940cd84c9e16c4bdc37b72b0bd54,,6P5M_ii,s8tmkb449q_06f5i9c3l
198,618.0,19,0.0,29619.0,0.0,0.0,0.0,c7966af0181a940cd84c9e16c4bdc37b72b0bd54,,6P5M_ii,s8tmkb449q_06f5i9c3l
198,168.0,1,0.0,0.0,26115.0,0.0,0.0,c7966af0181a940cd84c9e16c4bdc37b72b0bd54,,6P5M_ii,s8tmkb449q_06f5i9c3l
198,359.0,9,0.0,0.0,0.0,74.0,75255.0,c7966af0181a940cd84c9e16c4bdc37b72b0bd54,,6P5M_ii,s8tmkb449q_06f5i9c3l
199,558.0,47,60159.0,0.0,0.0,0.0,0.0,0,0,0,0
199,1111.0,1,0.0,0.0,26283.0,0.0,0.0,0,0,0,0
199,137.0,1,0.0,0.0,0.0,58.0,57891.0,0,0,0,0
200,548.0,47,60169.0,0.0,0.0,0.0,0.0,1f52583fd9b1f456f08957faa4a0de9d3344b9fe,,j-uGZDt,abid
200,699.0,1,0.0,0.0,26909.0,0.0,0.0,1f52583fd9b1f456f08957faa4a0de9d3344b9fe,,j-uGZDt,abid
200,138.0,1,0.0,0.0,0.0,33.0,57892.0,1f52583fd9b1f456f08957faa4a0de9d3344b9fe,,j-uGZDt,abid
201,549.0,47,60185.0,0.0,0.0,0.0,0.0,3f0397d5f7b1a293066b2bb50f15e199ad5c9602,,MkuhdYB,nuage_08l6f6i0c
201,159.0,19,0.0,0.0,0.0,93.0,61313.0,3f0397d5f7b1a293066b2bb50f15e199ad5c9602,,MkuhdYB,nuage_08l6f6i0c
202,499.0,47,60279.0,0.0,0.0,0.0,0.0,1594e9d9e2ab944e36a2cf1bb0bb1bfb64b82187,,ToG3IPA,magdapiecyk057_02c1i5f0l
202,560.0,18,0.0,18397.0,0.0,0.0,0.0,1594e9d9e2ab944e36a2cf1bb0bb1bfb64b82187,,ToG3IPA,magdapiecyk057_02c1i5f0l
