id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username,engagement_score,normalized_score,mood_score,mood
308,633.0,19,0.0,54360.0,0.0,0.0,0.0,0,0,0,0,16308.2,0.6305825580586039,0.0,Negative
308,359.0,152,0.0,0.0,0.0,8.0,51242.0,0,0,0,0,10248.600000000002,0.3962755879327813,0.0,Negative
309,16.0,18,0.0,21370.0,0.0,0.0,0.0,0,0,0,0,6411.2,0.24789457810361226,0.0,Negative
309,133.0,152,0.0,0.0,0.0,15.0,51245.0,0,0,0,0,10249.2,0.3962987881740637,0.0,Negative
310,23.0,18,0.0,21429.0,0.0,0.0,0.0,0,0,0,0,6428.9,0.24857898522144628,0.0,Negative
310,131.0,152,0.0,0.0,0.0,6.0,51246.0,0,0,0,0,10249.400000000001,0.3963065215878246,0.0,Negative
312,26.0,18,0.0,21444.0,0.0,0.0,0.0,0,0,0,0,6433.4,0.2487529870310651,0.0,Negative
312,34.0,152,0.0,0.0,0.0,11.0,51249.0,0,0,0,0,10250.000000000002,0.3963297218291071,0.0,Negative
313,33.0,18,0.0,21482.0,0.0,0.0,0.0,0,0,0,0,6444.799999999999,0.24919379161543276,0.0,Negative
313,426.0,152,0.0,0.0,0.0,9.0,51252.0,0,0,0,0,10250.600000000002,0.39635292207038963,0.0,Negative
316,497.0,18,0.0,21566.0,0.0,0.0,0.0,0,0,0,0,6470.0,0.2501682017492982,0.0,Negative
316,23.0,152,0.0,0.0,0.0,10.0,51260.0,0,0,0,0,10252.2,0.39641478938047625,0.0,Negative
317,496.0,18,0.0,21575.0,0.0,0.0,0.0,0,0,0,0,6472.7,0.25027260283506947,0.0,Negative
317,416.0,152,0.0,0.0,0.0,10.0,51261.0,0,0,0,0,10252.400000000001,0.3964225227942371,0.0,Negative
318,494.0,18,0.0,21592.0,0.0,0.0,0.0,0,0,0,0,6477.799999999999,0.2504698048859708,0.0,Negative
318,358.0,152,0.0,0.0,0.0,4.0,51263.0,0,0,0,0,10252.800000000001,0.3964379896217588,0.0,Negative
319,488.0,18,0.0,21634.0,0.0,0.0,0.0,97b496af8470e73687199412174f711109380464,,2wOXRX-,lumir,6490.4,0.2509570099529035,0.0,Negative
319,1006.0,18,0.0,0.0,0.0,69.0,77894.0,97b496af8470e73687199412174f711109380464,,2wOXRX-,lumir,15579.000000000002,0.6023865314865942,0.0,Negative
320,487.0,18,0.0,21646.0,0.0,0.0,0.0,60309ef3f7654c2e03e2d302e740273e8077c942,,rguAdeb,jyjp4p9wp4_09i7c6f9l,6494.0,0.25109621140059857,0.0,Negative
320,359.0,18,0.0,0.0,0.0,38.0,77901.0,60309ef3f7654c2e03e2d302e740273e8077c942,,rguAdeb,jyjp4p9wp4_09i7c6f9l,15580.400000000001,0.6024406653829201,0.0,Negative
321,469.0,18,0.0,21660.0,0.0,0.0,0.0,2a6955e0dae7888dd50bb9a925dde3c8b8d9c69e,,XmUaeIa,collins356,6498.2,0.25125861308957614,0.0,Negative
321,135.0,18,0.0,0.0,0.0,52.0,77906.0,2a6955e0dae7888dd50bb9a925dde3c8b8d9c69e,,XmUaeIa,collins356,15581.400000000001,0.6024793324517242,0.0,Negative
322,468.0,18,0.0,21673.0,0.0,0.0,0.0,0,0,0,0,6502.099999999999,0.25140941465791244,0.0,Negative
322,39.0,18,0.0,0.0,0.0,17.0,77981.0,0,0,0,0,15596.400000000001,0.6030593384837869,0.0,Negative
325,464.0,18,0.0,21702.0,0.0,0.0,0.0,f09af8535d6d789c0396e0b949624924862a3ec5,,VtieoMa,Alexsis55,6510.799999999999,0.2517458181565088,0.0,Negative
325,52.0,18,0.0,0.0,0.0,23.0,77986.0,f09af8535d6d789c0396e0b949624924862a3ec5,,VtieoMa,Alexsis55,15597.400000000001,0.6030980055525911,0.0,Negative
333,453.0,18,0.0,21825.0,0.0,0.0,0.0,0,0,0,0,6547.7,0.2531726329953832,0.0,Negative
333,32.0,152,0.0,0.0,0.0,16.0,8206.0,0,0,0,0,1641.4,0.06346039332142388,0.0,Negative
334,452.0,18,0.0,21842.0,0.0,0.0,0.0,0,0,0,0,6552.799999999999,0.25336983504628446,0.0,Negative
334,156.0,152,0.0,0.0,0.0,12.0,8208.0,0,0,0,0,1641.8000000000002,0.06347586014894555,0.0,Negative
336,437.0,18,0.0,21893.0,0.0,0.0,0.0,f24f13157920a939fd1f3c30b10294807698b9e1,,Uxo6lpR,maeler,6568.099999999999,0.25396144119898845,0.0,Negative
336,152.0,152,0.0,0.0,0.0,18.0,9019.0,f24f13157920a939fd1f3c30b10294807698b9e1,,Uxo6lpR,maeler,1804.0000000000002,0.0697476587089839,0.0,Negative
337,436.0,18,0.0,21911.0,0.0,0.0,0.0,fb08f655607788f43d559f5793ecbcd003a4720b,,IXtxl18,kyxxjszkwv_01i1l9c1f,6573.5,0.25417024337053107,0.0,Negative
337,726.0,152,0.0,0.0,0.0,13.0,9025.0,fb08f655607788f43d559f5793ecbcd003a4720b,,IXtxl18,kyxxjszkwv_01i1l9c1f,1805.2,0.06979405919154892,0.0,Negative
338,434.0,18,0.0,21925.0,0.0,0.0,0.0,a060d2dbfdaf33fbc7633f0f6238c2ccf7d13b0b,,-jLOVD8,cj5825yndb_02i4c0f7l,6577.7,0.25433264505950864,0.0,Negative
338,130.0,47,0.0,0.0,0.0,10.0,2531.0,a060d2dbfdaf33fbc7633f0f6238c2ccf7d13b0b,,-jLOVD8,cj5825yndb_02i4c0f7l,506.40000000000003,0.019573270228677043,0.0,Negative
339,432.0,18,0.0,21949.0,0.0,0.0,0.0,a66c8b46c2c1428a749e3f31356311b95388802e,,vvE2vTU,zgnry2mxd7_03f1l2i9c,6584.9,0.25461104795489875,0.0,Negative
339,173.0,47,0.0,0.0,0.0,13.0,2566.0,a66c8b46c2c1428a749e3f31356311b95388802e,,vvE2vTU,zgnry2mxd7_03f1l2i9c,513.4000000000001,0.019843939710306322,0.0,Negative
340,430.0,18,0.0,21952.0,0.0,0.0,0.0,0,0,0,0,6585.799999999999,0.25464584831682247,0.0,Negative
340,1006.0,47,0.0,0.0,0.0,18.0,2638.0,0,0,0,0,527.8000000000001,0.020400745501086545,0.0,Negative
